Case,Algorithm,Tag,Runs,HV_mean,HV_std,IGD_mean,IGD_std,Archive_size_mean,Best_f1_mean,Best_f2_mean,Best_f3_mean,Completion_mean
area_s5_t700,MODBO,modbo,10,0.4260114897805155,0.028613075945237747,0.37340081043648493,0.02063980209296562,29.8,3157.1,9445.863926520802,0.16,0.6417142857142857
area_s5_t700,MOPSO,mopso,10,0.4137299343948542,0.03275153669823051,0.40767880792627637,0.02850670649191196,54.5,3173.1,9446.41681803042,0.08,0.6432857142857142
area_s5_t700,NSGA-II,nsga2,10,0.65077398060529,0.058172424410336564,0.2623085951639474,0.03945006840311297,97.9,3281.8,8889.39661680972,0.0,0.6637142857142857
area_s5_t700,SPEA2,spea2,10,0.338298005376181,0.050654167240142406,0.4736042707065891,0.052469561854278736,37.9,3099.9,9698.313891234136,0.04,0.6291428571428571
area_s5_t800,CG-MOACO,cg_moaco,10,1.0204557740849407,0.03189321376721644,0.2222016478531872,0.007743446797653122,59.6,3961.4,9660.823200156185,0.0,0.65825
area_s5_t800,MODBO,modbo,10,0.387383787325278,0.042920996341101025,0.479657963782757,0.03839395509762991,32.7,3333.5,9896.220415863114,0.2,0.588
area_s5_t800,MOPSO,mopso,10,0.3794066980421253,0.02617289525522663,0.5007700322840191,0.028238229794420172,50.2,3360.4,9951.055332661994,0.16,0.59375
area_s5_t800,NSGA-II,nsga2,10,0.589331588050202,0.07971852824959325,0.36093513279965606,0.060102706175013426,98.1,3484.6,9342.846173972148,0.0,0.61225
area_s5_t800,SPEA2,spea2,10,0.26400910601719657,0.04445211532437038,0.6080343321359662,0.06326407601032547,43.3,3278.8,10433.123440892923,0.08898979485566356,0.580875
area_s5_t900,CG-MOACO,cg_moaco,10,0.7190604001013363,0.023915945155909987,0.5675916945221462,0.011197319044219787,67.9,4155.3,10294.537583817371,0.2,0.6147777777777778
area_s5_t900,MODBO,modbo,10,0.41029141153406307,0.04416904617870026,0.22773825445531476,0.023091688420917553,63.4,3531.0,9487.890186914032,0.3689897948556636,0.5634444444444444
area_s5_t900,MOPSO,mopso,10,0.42439540750689697,0.028470537531931038,0.3763488042657431,0.17916698216925056,57.4,3574.2,9891.442678951007,0.16,0.5681111111111111
area_s5_t900,NSGA-II,nsga2,10,0.5505657265474283,0.06484122102912189,0.29311777808814865,0.15807240372336087,100.0,3667.7,9136.662512003546,0.08,0.5814444444444444
area_s5_t900,SPEA2,spea2,10,0.3524085479615045,0.032420006164378,0.5038486989006169,0.1626926234782069,61.7,3498.2,10426.171040554933,0.27641210366698227,0.5561111111111111
